Crop,Opt_Temp_C,Opt_Precip_mm,Opt_Humid_pct,Opt_Solar_Rad_Wm2,Ky,N_Fixer,Opt_N_kgha,Opt_P_kgha,Opt_K_kgha,Opt_Zn_ppm,Opt_Fe_ppm,Water_Footprint_mm,Rotation_Benefit_Label
paddy,27,1250,75,450,1.09,0,150,50,50,1.2,4.0,900,High N-demand; grows well after legumes
sugarcane,28,1500,70,500,1.2,0,275,62,115,1.5,4.5,1500,High NPK demand; avoid back-to-back
banana,27,2000,75,400,1.25,0,200,60,200,2.0,5.0,1200,Perennial; benefits from legume intercrop
coconut,27,1800,75,500,0.7,0,100,40,200,2.0,5.0,1100,Perennial; intercrop with legumes
tapioca,27,1200,70,450,0.8,0,100,50,100,1.5,4.5,800,K-depleting; follow with legume
mango,27,1000,60,500,0.85,0,750,250,750,1.5,4.5,800,Perennial; low rotation impact
blackgram,30,800,60,450,1.0,1,25,50,25,1.5,4.5,350,N-fixer; excellent pre-paddy crop (+25 kg N/ha)
greengram,30,800,60,450,1.0,1,25,50,25,1.5,4.5,300,N-fixer; excellent pre-paddy crop (+20 kg N/ha)
gingelly,27,600,50,500,0.9,0,30,30,30,1.5,4.5,350,Low nutrient demand; good break crop
brinjal,25,800,65,450,1.1,0,150,60,50,1.5,4.5,450,Medium demand; avoid after nightshades
cashew,25,1200,65,550,0.75,0,500,125,125,1.5,4.5,700,Perennial; low rotation impact
cotton,28,800,60,550,0.85,0,120,60,60,1.5,4.5,700,High NPK demand; avoid back-to-back
groundnut,27,700,65,500,0.7,1,25,50,50,1.5,4.5,500,N-fixer; good pre-cereal crop (+20 kg N/ha)
capsicum,22,1000,70,400,1.1,0,120,60,50,1.5,4.5,400,Medium demand; avoid after nightshades
bhendi,27,1000,70,450,1.05,0,100,50,50,1.5,4.5,400,Medium demand; flexible rotation
cocoa,25,1800,80,400,0.8,0,200,80,100,1.5,4.5,1000,Perennial; low rotation impact
malligai,27,1000,70,450,0.9,0,150,60,60,1.5,4.5,600,Perennial shrub; low rotation impact
guava,25,1000,65,500,0.8,0,600,200,200,1.5,4.5,700,Perennial; low rotation impact
chilli,25,1000,65,450,1.1,0,100,50,50,1.5,4.5,550,Medium demand; avoid after nightshades
annual moringa,28,800,60,500,0.85,0,100,50,50,1.5,4.5,400,Low demand; good green manure
snake gourd,27,1000,70,400,1.0,0,80,40,40,1.5,4.5,350,Low demand; flexible rotation
bellary onion,20,700,65,450,1.1,0,120,60,80,1.5,4.5,400,K-depleting; follow with legume
small onion,20,700,65,450,1.1,0,90,45,60,1.5,4.5,350,K-depleting; follow with legume
betelvine,25,2000,80,350,0.9,0,200,80,100,1.5,4.5,900,Perennial vine; low rotation impact
watermelon,28,600,60,600,1.1,0,100,50,60,1.5,4.5,350,Low demand; flexible rotation
marigold,22,800,65,450,0.85,0,80,40,40,1.5,4.5,300,Low demand; nematode suppressor
tuberose,25,1000,70,450,0.9,0,150,60,80,1.5,4.5,400,Medium demand; bulb crop
